0.36	0.05	1.0	0.03	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	0.4	0.05	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.17	1.0	1.0	0.04	1.0	1.0	1.0	
0.39	0.34	0.03	1.0	1.0	1.0	0.09	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.16	1.0	0.05	1.0	1.0	0.03	1.0	1.0	1.0	1.0	0.15	0.01	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
0.3	1.0	1.0	0.12	1.0	0.05	1.0	0.0	1.0	1.0	0.03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	0.25	1.0	0.13	1.0	0.1	0.12	1.0	1.0	0.0	1.0	0.03	0.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.33	0.03	1.0	0.2	1.0	0.32	0.13	1.0	0.02	1.0	1.0	1.0	0.02	1.0	1.0	1.0	0.0	1.0	1.0	1.0	
0.37	1.0	0.1	1.0	0.1	1.0	1.0	1.0	1.0	1.0	0.03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	1.0	0.57	1.0	0.14	1.0	1.0	1.0	0.07	0.0	1.0	1.0	0.04	1.0	1.0	0.06	1.0	1.0	1.0	1.0	
1.0	0.11	1.0	0.18	0.17	0.17	0.0	0.03	1.0	1.0	0.12	1.0	0.03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.32	1.0	0.06	0.25	0.08	1.0	1.0	1.0	0.13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.31	1.0	1.0	0.03	0.09	1.0	1.0	1.0	0.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.52	1.0	1.0	1.0	0.07	1.0	1.0	1.0	1.0	0.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	1.0	1.0	0.06	1.0	1.0	0.0	1.0	0.04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	0.31	0.35	0.05	1.0	0.16	0.31	1.0	0.1	1.0	0.11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.02	1.0	
1.0	0.0	1.0	0.13	1.0	1.0	1.0	1.0	0.03	1.0	1.0	0.16	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.18	0.13	1.0	1.0	1.0	1.0	1.0	0.12	1.0	1.0	0.02	1.0	0.11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.21	1.0	1.0	0.0	0.0	1.0	0.05	1.0	1.0	1.0	0.03	1.0	1.0	1.0	1.0	1.0	0.01	1.0	1.0	1.0	
0.19	0.31	1.0	0.02	1.0	0.19	1.0	1.0	0.26	1.0	1.0	0.03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	1.0	1.0	1.0	0.0	1.0	0.02	1.0	1.0	0.03	1.0	1.0	1.0	1.0	1.0	1.0	0.02	1.0	1.0	1.0	
1.0	0.0	0.08	1.0	1.0	1.0	1.0	0.05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.26	1.0	0.07	1.0	0.05	1.0	0.05	1.0	0.14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.02	1.0	
1.0	0.4	1.0	0.0	1.0	0.0	1.0	0.04	1.0	1.0	1.0	0.03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	0.07	1.0	0.08	1.0	1.0	1.0	1.0	0.07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.43	1.0	1.0	1.0	0.03	0.05	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.07	1.0	0.09	1.0	0.06	1.0	0.02	0.0	1.0	1.0	1.0	0.04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.34	1.0	0.24	0.0	0.1	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	0.05	1.0	1.0	1.0	1.0	1.0	1.0	
0.03	1.0	0.17	1.0	0.12	1.0	0.19	0.03	1.0	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.35	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.72	1.0	1.0	0.24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.05	1.0	0.09	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.32	0.07	1.0	0.02	1.0	0.46	0.02	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.69	0.25	1.0	1.0	0.04	0.0	0.0	0.0	1.0	1.0	1.0	0.22	1.0	0.0	1.0	0.04	1.0	1.0	1.0	1.0	
1.0	1.0	0.11	1.0	1.0	0.05	1.0	0.04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.72	0.22	1.0	1.0	1.0	0.04	0.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.45	0.13	1.0	0.01	1.0	0.02	1.0	0.31	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.46	1.0	1.0	1.0	0.01	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.09	1.0	1.0	0.06	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
0.07	1.0	0.01	1.0	1.0	0.06	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	0.23	0.03	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.39	0.36	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.09	1.0	1.0	0.18	1.0	1.0	1.0	1.0	1.0	
0.01	1.0	0.04	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.51	1.0	0.22	0.0	1.0	1.0	0.24	1.0	1.0	1.0	1.0	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.21	0.08	0.06	1.0	1.0	0.02	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.01	1.0	1.0	1.0	1.0	1.0	
0.46	1.0	1.0	0.07	1.0	1.0	1.0	0.01	1.0	1.0	1.0	1.0	1.0	0.27	1.0	1.0	1.0	1.0	1.0	1.0	
0.41	0.13	1.0	0.0	1.0	1.0	1.0	0.03	1.0	1.0	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.43	1.0	0.11	1.0	1.0	0.02	1.0	0.05	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	0.29	1.0	1.0	0.01	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04	1.0	1.0	1.0	
0.06	1.0	0.26	0.11	0.03	1.0	1.0	0.03	1.0	1.0	1.0	1.0	0.05	1.0	0.02	1.0	1.0	1.0	1.0	1.0	
0.67	1.0	0.04	1.0	0.04	1.0	0.04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.12	1.0	1.0	1.0	0.13	1.0	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.29	0.29	0.0	0.04	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.18	1.0	1.0	0.03	1.0	1.0	1.0	1.0	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.73	1.0	1.0	1.0	1.0	0.25	1.0	0.03	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	
0.3	0.52	1.0	0.12	1.0	0.05	1.0	0.25	1.0	0.0	1.0	0.2	1.0	1.0	1.0	1.0	1.0	1.0	0.04	1.0	
0.04	0.29	1.0	0.02	1.0	0.19	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03	1.0	1.0	1.0	
0.28	1.0	0.14	1.0	0.02	1.0	0.1	1.0	0.06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	0.18	1.0	1.0	0.14	0.02	1.0	1.0	1.0	1.0	0.04	1.0	0.0	1.0	1.0	1.0	0.02	1.0	1.0	1.0	
0.15	1.0	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	1.0	0.18	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.01	1.0	1.0	1.0	1.0	
0.49	1.0	1.0	0.01	1.0	0.05	1.0	0.07	1.0	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.27	0.07	1.0	0.29	1.0	1.0	1.0	0.05	0.06	1.0	0.05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	0.03	1.0	1.0	0.02	1.0	1.0	0.03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	0.23	1.0	1.0	0.03	1.0	1.0	0.06	1.0	1.0	1.0	0.04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.36	1.0	0.44	1.0	1.0	0.0	1.0	0.04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.41	0.11	1.0	1.0	1.0	1.0	0.18	1.0	0.07	1.0	1.0	0.07	0.08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.3	1.0	0.31	1.0	1.0	0.12	1.0	1.0	0.05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.13	1.0	0.04	0.1	1.0	1.0	1.0	1.0	0.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.08	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	1.0	1.0	1.0	0.14	1.0	1.0	1.0	1.0	0.19	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	1.0	0.09	0.04	1.0	1.0	0.48	0.0	0.0	1.0	0.06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.6	1.0	0.05	0.14	1.0	0.02	0.03	1.0	0.02	1.0	1.0	1.0	1.0	0.21	0.0	1.0	1.0	1.0	1.0	1.0	
0.33	1.0	0.08	1.0	0.06	1.0	1.0	0.01	1.0	1.0	0.07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	0.24	0.09	1.0	1.0	1.0	0.04	1.0	0.03	1.0	1.0	0.02	1.0	1.0	1.0	0.02	1.0	1.0	1.0	1.0	
0.11	1.0	1.0	1.0	0.01	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	1.0	0.22	1.0	0.2	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
